0.98, -0.88, 0.36, 0.4, -0.88, 0.12, 0, 1
0.98, -0.88, 0.36, 0.4, -0.64, 0.12, 1, 1
0.98, -0.88, 0.36, 0.4, -0.4, 0.12, 2, 1
0.98, -0.88, 0.36, 0.4, -0.16, 0.12, 3, 1
0.98, -0.88, 0.36, 0.4, 0.08, 0.12, 4, 1
0.98, -0.88, 0.36, 0.4, 0.32, 0.12, 5, 1
0.98, -0.88, 0.36, 0.4, 0.56, 0.12, 6, 1
0.98, -0.88, 0.36, 0.4, 0.8, 0.12, 7, 1
0.98, -0.88, 0.36, 0.4, 1.04, 0.12, 8, 1
0.98, -0.88, 1.08, 0.4, -0.88, 0.12, 9, 1
0.98, -0.88, 1.08, 0.4, -0.88, 0.36, 10, 1
0.98, -0.88, 1.08, 0.4, -0.88, 0.6, 11, 1
0.98, -0.88, 1.08, 0.4, -0.88, 0.84, 12, 1
0.98, -0.88, 1.08, 0.4, -0.64, 0.12, 13, 1
0.98, -0.88, 1.08, 0.4, -0.64, 0.36, 14, 1
0.98, -0.88, 1.08, 0.4, -0.64, 0.6, 15, 1
0.98, -0.88, 1.08, 0.4, -0.64, 0.84, 16, 1
0.98, -0.88, 1.08, 0.4, -0.4, 0.12, 17, 1
0.98, -0.88, 1.08, 0.4, -0.4, 0.36, 18, 1
0.98, -0.88, 1.08, 0.4, -0.4, 0.6, 19, 1
0.98, -0.88, 1.08, 0.4, -0.4, 0.84, 20, 1
0.98, -0.88, 1.08, 0.4, -0.16, 0.12, 21, 1
0.98, -0.88, 1.08, 0.4, -0.16, 0.36, 22, 1
0.98, -0.88, 1.08, 0.4, -0.16, 0.6, 23, 1
0.98, -0.88, 1.08, 0.4, -0.16, 0.84, 24, 1
0.98, -0.88, 1.08, 0.4, 0.08, 0.12, 25, 1
0.98, -0.88, 1.08, 0.4, 0.08, 0.36, 26, 1
0.98, -0.88, 1.08, 0.4, 0.08, 0.6, 27, 1
0.98, -0.88, 1.08, 0.4, 0.08, 0.84, 28, 1
0.98, -0.88, 1.08, 0.4, 0.32, 0.12, 29, 1
0.98, -0.88, 1.08, 0.4, 0.32, 0.36, 30, 1
0.98, -0.88, 1.08, 0.4, 0.32, 0.6, 31, 1
0.98, -0.88, 1.08, 0.4, 0.32, 0.84, 32, 1
0.98, -0.88, 1.08, 0.4, 0.56, 0.12, 33, 1
0.98, -0.88, 1.08, 0.4, 0.56, 0.36, 34, 1
0.98, -0.88, 1.08, 0.4, 0.56, 0.6, 35, 1
0.98, -0.88, 1.08, 0.4, 0.56, 0.84, 36, 1
0.98, -0.88, 1.08, 0.4, 0.8, 0.12, 37, 1
0.98, -0.88, 1.08, 0.4, 0.8, 0.36, 38, 1
0.98, -0.88, 1.08, 0.4, 0.8, 0.6, 39, 1
0.98, -0.88, 1.08, 0.4, 0.8, 0.84, 40, 1
0.98, -0.88, 1.08, 0.4, 1.04, 0.12, 41, 1
0.98, -0.88, 1.08, 0.4, 1.04, 0.36, 42, 1
0.98, -0.88, 1.08, 0.4, 1.04, 0.6, 43, 1
0.98, -0.88, 1.08, 0.4, 1.04, 0.84, 44, 1
0.98, -0.88, 1.8, 0.4, -0.88, 0.12, 45, 1
0.98, -0.88, 1.8, 0.4, -0.88, 0.36, 46, 1
0.98, -0.88, 1.8, 0.4, -0.88, 0.6, 47, 1
0.98, -0.88, 1.8, 0.4, -0.88, 0.84, 48, 1
0.98, -0.88, 1.8, 0.4, -0.88, 1.08, 49, 1
0.98, -0.88, 1.8, 0.4, -0.88, 1.32, 50, 0
0.98, -0.88, 1.8, 0.4, -0.88, 1.56, 51, 0
0.98, -0.88, 1.8, 0.4, -0.64, 0.12, 52, 1
0.98, -0.88, 1.8, 0.4, -0.64, 0.36, 53, 1
0.98, -0.88, 1.8, 0.4, -0.64, 0.6, 54, 1
0.98, -0.88, 1.8, 0.4, -0.64, 0.84, 55, 1
0.98, -0.88, 1.8, 0.4, -0.64, 1.08, 56, 1
0.98, -0.88, 1.8, 0.4, -0.64, 1.32, 57, 0
0.98, -0.88, 1.8, 0.4, -0.64, 1.56, 58, 0
0.98, -0.88, 1.8, 0.4, -0.4, 0.12, 59, 1
0.98, -0.88, 1.8, 0.4, -0.4, 0.36, 60, 1
0.98, -0.88, 1.8, 0.4, -0.4, 0.6, 61, 1
0.98, -0.88, 1.8, 0.4, -0.4, 0.84, 62, 1
0.98, -0.88, 1.8, 0.4, -0.4, 1.08, 63, 1
0.98, -0.88, 1.8, 0.4, -0.4, 1.32, 64, 1
0.98, -0.88, 1.8, 0.4, -0.4, 1.56, 65, 0
0.98, -0.88, 1.8, 0.4, -0.16, 0.12, 66, 1
0.98, -0.88, 1.8, 0.4, -0.16, 0.36, 67, 1
0.98, -0.88, 1.8, 0.4, -0.16, 0.6, 68, 1
0.98, -0.88, 1.8, 0.4, -0.16, 0.84, 69, 1
0.98, -0.88, 1.8, 0.4, -0.16, 1.08, 70, 1
0.98, -0.88, 1.8, 0.4, -0.16, 1.32, 71, 1
0.98, -0.88, 1.8, 0.4, -0.16, 1.56, 72, 0
0.98, -0.88, 1.8, 0.4, 0.08, 0.12, 73, 1
0.98, -0.88, 1.8, 0.4, 0.08, 0.36, 74, 1
0.98, -0.88, 1.8, 0.4, 0.08, 0.6, 75, 1
0.98, -0.88, 1.8, 0.4, 0.08, 0.84, 76, 1
0.98, -0.88, 1.8, 0.4, 0.08, 1.08, 77, 1
0.98, -0.88, 1.8, 0.4, 0.08, 1.32, 78, 1
0.98, -0.88, 1.8, 0.4, 0.08, 1.56, 79, 0
0.98, -0.88, 1.8, 0.4, 0.32, 0.12, 80, 1
0.98, -0.88, 1.8, 0.4, 0.32, 0.36, 81, 1
0.98, -0.88, 1.8, 0.4, 0.32, 0.6, 82, 1
0.98, -0.88, 1.8, 0.4, 0.32, 0.84, 83, 1
0.98, -0.88, 1.8, 0.4, 0.32, 1.08, 84, 1
0.98, -0.88, 1.8, 0.4, 0.32, 1.32, 85, 1
0.98, -0.88, 1.8, 0.4, 0.32, 1.56, 86, 0
0.98, -0.88, 1.8, 0.4, 0.56, 0.12, 87, 1
0.98, -0.88, 1.8, 0.4, 0.56, 0.36, 88, 1
0.98, -0.88, 1.8, 0.4, 0.56, 0.6, 89, 1
0.98, -0.88, 1.8, 0.4, 0.56, 0.84, 90, 1
0.98, -0.88, 1.8, 0.4, 0.56, 1.08, 91, 1
0.98, -0.88, 1.8, 0.4, 0.56, 1.32, 92, 1
0.98, -0.88, 1.8, 0.4, 0.56, 1.56, 93, 0
0.98, -0.88, 1.8, 0.4, 0.8, 0.12, 94, 1
0.98, -0.88, 1.8, 0.4, 0.8, 0.36, 95, 1
0.98, -0.88, 1.8, 0.4, 0.8, 0.6, 96, 1
0.98, -0.88, 1.8, 0.4, 0.8, 0.84, 97, 1
0.98, -0.88, 1.8, 0.4, 0.8, 1.08, 98, 1
0.98, -0.88, 1.8, 0.4, 0.8, 1.32, 99, 1
0.98, -0.88, 1.8, 0.4, 0.8, 1.56, 100, 0
0.98, -0.88, 1.8, 0.4, 1.04, 0.12, 101, 1
0.98, -0.88, 1.8, 0.4, 1.04, 0.36, 102, 1
0.98, -0.88, 1.8, 0.4, 1.04, 0.6, 103, 1
0.98, -0.88, 1.8, 0.4, 1.04, 0.84, 104, 1
0.98, -0.88, 1.8, 0.4, 1.04, 1.08, 105, 1
0.98, -0.88, 1.8, 0.4, 1.04, 1.32, 106, 0
0.98, -0.88, 1.8, 0.4, 1.04, 1.56, 107, 0
0.98, 0.08, 0.36, 0.4, -0.88, 0.12, 108, 1
0.98, 0.08, 0.36, 0.4, -0.64, 0.12, 109, 1
0.98, 0.08, 0.36, 0.4, -0.4, 0.12, 110, 1
0.98, 0.08, 0.36, 0.4, -0.16, 0.12, 111, 1
0.98, 0.08, 0.36, 0.4, 0.08, 0.12, 112, 1
0.98, 0.08, 0.36, 0.4, 0.32, 0.12, 113, 1
0.98, 0.08, 0.36, 0.4, 0.56, 0.12, 114, 1
0.98, 0.08, 0.36, 0.4, 0.8, 0.12, 115, 1
0.98, 0.08, 0.36, 0.4, 1.04, 0.12, 116, 1
0.98, 0.08, 1.08, 0.4, -0.88, 0.12, 117, 1
0.98, 0.08, 1.08, 0.4, -0.88, 0.36, 118, 1
0.98, 0.08, 1.08, 0.4, -0.88, 0.6, 119, 1
0.98, 0.08, 1.08, 0.4, -0.88, 0.84, 120, 0
0.98, 0.08, 1.08, 0.4, -0.64, 0.12, 121, 1
0.98, 0.08, 1.08, 0.4, -0.64, 0.36, 122, 1
0.98, 0.08, 1.08, 0.4, -0.64, 0.6, 123, 1
0.98, 0.08, 1.08, 0.4, -0.64, 0.84, 124, 1
0.98, 0.08, 1.08, 0.4, -0.4, 0.12, 125, 1
0.98, 0.08, 1.08, 0.4, -0.4, 0.36, 126, 1
0.98, 0.08, 1.08, 0.4, -0.4, 0.6, 127, 1
0.98, 0.08, 1.08, 0.4, -0.4, 0.84, 128, 1
0.98, 0.08, 1.08, 0.4, -0.16, 0.12, 129, 1
0.98, 0.08, 1.08, 0.4, -0.16, 0.36, 130, 1
0.98, 0.08, 1.08, 0.4, -0.16, 0.6, 131, 1
0.98, 0.08, 1.08, 0.4, -0.16, 0.84, 132, 1
0.98, 0.08, 1.08, 0.4, 0.08, 0.12, 133, 1
0.98, 0.08, 1.08, 0.4, 0.08, 0.36, 134, 1
0.98, 0.08, 1.08, 0.4, 0.08, 0.6, 135, 1
0.98, 0.08, 1.08, 0.4, 0.08, 0.84, 136, 1
0.98, 0.08, 1.08, 0.4, 0.32, 0.12, 137, 1
0.98, 0.08, 1.08, 0.4, 0.32, 0.36, 138, 1
0.98, 0.08, 1.08, 0.4, 0.32, 0.6, 139, 1
0.98, 0.08, 1.08, 0.4, 0.32, 0.84, 140, 1
0.98, 0.08, 1.08, 0.4, 0.56, 0.12, 141, 1
0.98, 0.08, 1.08, 0.4, 0.56, 0.36, 142, 1
0.98, 0.08, 1.08, 0.4, 0.56, 0.6, 143, 1
0.98, 0.08, 1.08, 0.4, 0.56, 0.84, 144, 1
0.98, 0.08, 1.08, 0.4, 0.8, 0.12, 145, 1
0.98, 0.08, 1.08, 0.4, 0.8, 0.36, 146, 1
0.98, 0.08, 1.08, 0.4, 0.8, 0.6, 147, 1
0.98, 0.08, 1.08, 0.4, 0.8, 0.84, 148, 0
0.98, 0.08, 1.08, 0.4, 1.04, 0.12, 149, 1
0.98, 0.08, 1.08, 0.4, 1.04, 0.36, 150, 1
0.98, 0.08, 1.08, 0.4, 1.04, 0.6, 151, 1
0.98, 0.08, 1.08, 0.4, 1.04, 0.84, 152, 1
0.98, 0.08, 1.8, 0.4, -0.88, 0.12, 153, 1
0.98, 0.08, 1.8, 0.4, -0.88, 0.36, 154, 1
0.98, 0.08, 1.8, 0.4, -0.88, 0.6, 155, 1
0.98, 0.08, 1.8, 0.4, -0.88, 0.84, 156, 1
0.98, 0.08, 1.8, 0.4, -0.88, 1.08, 157, 0
0.98, 0.08, 1.8, 0.4, -0.88, 1.32, 158, 0
0.98, 0.08, 1.8, 0.4, -0.88, 1.56, 159, 0
0.98, 0.08, 1.8, 0.4, -0.64, 0.12, 160, 1
0.98, 0.08, 1.8, 0.4, -0.64, 0.36, 161, 1
0.98, 0.08, 1.8, 0.4, -0.64, 0.6, 162, 1
0.98, 0.08, 1.8, 0.4, -0.64, 0.84, 163, 1
0.98, 0.08, 1.8, 0.4, -0.64, 1.08, 164, 1
0.98, 0.08, 1.8, 0.4, -0.64, 1.32, 165, 1
0.98, 0.08, 1.8, 0.4, -0.64, 1.56, 166, 0
0.98, 0.08, 1.8, 0.4, -0.4, 0.12, 167, 1
0.98, 0.08, 1.8, 0.4, -0.4, 0.36, 168, 1
0.98, 0.08, 1.8, 0.4, -0.4, 0.6, 169, 1
0.98, 0.08, 1.8, 0.4, -0.4, 0.84, 170, 1
0.98, 0.08, 1.8, 0.4, -0.4, 1.08, 171, 1
0.98, 0.08, 1.8, 0.4, -0.4, 1.32, 172, 0
0.98, 0.08, 1.8, 0.4, -0.4, 1.56, 173, 0
0.98, 0.08, 1.8, 0.4, -0.16, 0.12, 174, 1
0.98, 0.08, 1.8, 0.4, -0.16, 0.36, 175, 1
0.98, 0.08, 1.8, 0.4, -0.16, 0.6, 176, 1
0.98, 0.08, 1.8, 0.4, -0.16, 0.84, 177, 1
0.98, 0.08, 1.8, 0.4, -0.16, 1.08, 178, 1
0.98, 0.08, 1.8, 0.4, -0.16, 1.32, 179, 1
0.98, 0.08, 1.8, 0.4, -0.16, 1.56, 180, 1
0.98, 0.08, 1.8, 0.4, 0.08, 0.12, 181, 1
0.98, 0.08, 1.8, 0.4, 0.08, 0.36, 182, 1
0.98, 0.08, 1.8, 0.4, 0.08, 0.6, 183, 1
0.98, 0.08, 1.8, 0.4, 0.08, 0.84, 184, 1
0.98, 0.08, 1.8, 0.4, 0.08, 1.08, 185, 1
0.98, 0.08, 1.8, 0.4, 0.08, 1.32, 186, 1
0.98, 0.08, 1.8, 0.4, 0.08, 1.56, 187, 1
0.98, 0.08, 1.8, 0.4, 0.32, 0.12, 188, 1
0.98, 0.08, 1.8, 0.4, 0.32, 0.36, 189, 1
0.98, 0.08, 1.8, 0.4, 0.32, 0.6, 190, 1
0.98, 0.08, 1.8, 0.4, 0.32, 0.84, 191, 1
0.98, 0.08, 1.8, 0.4, 0.32, 1.08, 192, 1
0.98, 0.08, 1.8, 0.4, 0.32, 1.32, 193, 1
0.98, 0.08, 1.8, 0.4, 0.32, 1.56, 194, 0
0.98, 0.08, 1.8, 0.4, 0.56, 0.12, 195, 1
0.98, 0.08, 1.8, 0.4, 0.56, 0.36, 196, 1
0.98, 0.08, 1.8, 0.4, 0.56, 0.6, 197, 1
0.98, 0.08, 1.8, 0.4, 0.56, 0.84, 198, 1
0.98, 0.08, 1.8, 0.4, 0.56, 1.08, 199, 1
0.98, 0.08, 1.8, 0.4, 0.56, 1.32, 200, 0
0.98, 0.08, 1.8, 0.4, 0.56, 1.56, 201, 0
0.98, 0.08, 1.8, 0.4, 0.8, 0.12, 202, 1
0.98, 0.08, 1.8, 0.4, 0.8, 0.36, 203, 1
0.98, 0.08, 1.8, 0.4, 0.8, 0.6, 204, 1
0.98, 0.08, 1.8, 0.4, 0.8, 0.84, 205, 1
