0.98, -0.88, 0.12, 54, 53
0.98, -0.88, 0.36, 54, 53
0.98, -0.88, 0.6, 54, 51
0.98, -0.88, 0.84, 54, 52
0.98, -0.88, 1.08, 54, 52
0.98, -0.88, 1.32, 54, 52
0.98, -0.88, 1.56, 108, 82
0.98, -0.88, 1.8, 108, 75
0.98, -0.64, 0.12, 54, 53
0.98, -0.64, 0.36, 54, 53
0.98, -0.64, 0.6, 54, 50
0.98, -0.64, 0.84, 54, 52
0.98, -0.64, 1.08, 54, 52
0.98, -0.64, 1.32, 54, 51
0.98, -0.64, 1.56, 108, 81
0.98, -0.64, 1.8, 108, 75
0.98, -0.4, 0.12, 54, 51
0.98, -0.4, 0.36, 54, 52
0.98, -0.4, 0.6, 54, 49
0.98, -0.4, 0.84, 54, 49
0.98, -0.4, 1.08, 54, 51
0.98, -0.4, 1.32, 54, 50
0.98, -0.4, 1.56, 108, 80
0.98, -0.4, 1.8, 108, 73
0.98, -0.16, 0.12, 54, 51
0.98, -0.16, 0.36, 54, 51
0.98, -0.16, 0.6, 54, 51
0.98, -0.16, 0.84, 54, 51
0.98, -0.16, 1.08, 54, 51
0.98, -0.16, 1.32, 54, 51
0.98, -0.16, 1.56, 108, 85
0.98, -0.16, 1.8, 108, 72
0.98, 0.08, 0.12, 54, 52
0.98, 0.08, 0.36, 54, 49
0.98, 0.08, 0.6, 54, 52
0.98, 0.08, 0.84, 54, 47
0.98, 0.08, 1.08, 54, 50
0.98, 0.08, 1.32, 54, 49
0.98, 0.08, 1.56, 108, 84
0.98, 0.08, 1.8, 108, 74
0.98, 0.32, 0.12, 54, 52
0.98, 0.32, 0.36, 54, 53
0.98, 0.32, 0.6, 54, 52
0.98, 0.32, 0.84, 54, 50
0.98, 0.32, 1.08, 54, 52
0.98, 0.32, 1.32, 54, 50
0.98, 0.32, 1.56, 108, 84
0.98, 0.32, 1.8, 108, 77
0.98, 0.56, 0.12, 54, 52
0.98, 0.56, 0.36, 54, 53
0.98, 0.56, 0.6, 54, 50
0.98, 0.56, 0.84, 54, 51
0.98, 0.56, 1.08, 54, 49
0.98, 0.56, 1.32, 54, 48
0.98, 0.56, 1.56, 108, 82
0.98, 0.56, 1.8, 108, 83
0.98, 0.8, 0.12, 54, 53
0.98, 0.8, 0.36, 54, 52
0.98, 0.8, 0.6, 54, 51
0.98, 0.8, 0.84, 54, 50
0.98, 0.8, 1.08, 54, 50
0.98, 0.8, 1.32, 54, 51
0.98, 0.8, 1.56, 108, 88
0.98, 0.8, 1.8, 108, 81
0.98, 1.04, 0.12, 108, 80
0.98, 1.04, 0.36, 108, 83
0.98, 1.04, 0.6, 108, 84
0.98, 1.04, 0.84, 108, 76
0.98, 1.04, 1.08, 108, 75
0.98, 1.04, 1.32, 108, 74
0.98, 1.04, 1.56, 162, 113
0.98, 1.04, 1.8, 162, 97
