0, 0.98, -0.88, 0.36, 0.4, -0.88, 0.12, 0.98082, 0, -0.194914, 0
1, 0.98, -0.88, 0.36, 0.4, -0.64, 0.12, 0.978106, 0, -0.186986, -0.091348
2, 0.98, -0.88, 0.36, 0.4, -0.4, 0.12, 0.944778, 0, -0.16175, -0.285012
3, 0.98, -0.88, 0.36, 0.4, -0.16, 0.12, 0.901166, 0, -0.138887, -0.410623
4, 0.98, -0.88, 0.36, 0.4, 0.08, 0.12, 0.869327, 0, -0.129791, -0.476892
5, 0.98, -0.88, 0.36, 0.4, 0.32, 0.12, 0.845722, 0, -0.128555, -0.517907
6, 0.98, -0.88, 0.36, 0.4, 0.56, 0.12, 0.827643, 0, -0.130262, -0.545929
7, 0.98, -0.88, 0.36, 0.4, 0.8, 0.12, 0.813466, 0, -0.132783, -0.566252
8, 0.98, -0.88, 0.36, 0.4, 1.04, 0.12, 0.802117, 0, -0.135334, -0.581629
9, 0.98, -0.88, 1.08, 0.4, -0.88, 0.12, 0.870952, 0, -0.491368, 0
10, 0.98, -0.88, 1.08, 0.4, -0.88, 0.36, 0.902034, 0, -0.431666, 0
11, 0.98, -0.88, 1.08, 0.4, -0.88, 0.6, 0.940849, 0, -0.338826, 0
12, 0.98, -0.88, 1.08, 0.4, -0.88, 0.84, 0.98082, 0, -0.194914, 0
13, 0.98, -0.88, 1.08, 0.4, -0.64, 0.12, 0.868857, 0, -0.483105, -0.108154
14, 0.98, -0.88, 1.08, 0.4, -0.64, 0.36, 0.899701, 0, -0.42188, -0.112054
15, 0.98, -0.88, 1.08, 0.4, -0.64, 0.6, 0.938776, 0, -0.32839, -0.104209
16, 0.98, -0.88, 1.08, 0.4, -0.64, 0.84, 0.978106, 0, -0.186986, -0.091348
17, 0.98, -0.88, 1.08, 0.4, -0.4, 0.12, 0.861277, 0, -0.461469, -0.212715
18, 0.98, -0.88, 1.08, 0.4, -0.4, 0.36, 0.888848, 0, -0.395358, -0.231607
19, 0.98, -0.88, 1.08, 0.4, -0.4, 0.6, 0.921326, 0, -0.297689, -0.250079
20, 0.98, -0.88, 1.08, 0.4, -0.4, 0.84, 0.944778, 0, -0.16175, -0.285012
21, 0.98, -0.88, 1.08, 0.4, -0.16, 0.12, 0.848096, 0, -0.43538, -0.301956
22, 0.98, -0.88, 1.08, 0.4, -0.16, 0.36, 0.869053, 0, -0.365392, -0.333521
23, 0.98, -0.88, 1.08, 0.4, -0.16, 0.6, 0.889869, 0, -0.265898, -0.370718
24, 0.98, -0.88, 1.08, 0.4, -0.16, 0.84, 0.901166, 0, -0.138887, -0.410623
25, 0.98, -0.88, 1.08, 0.4, 0.08, 0.12, 0.832685, 0, -0.413269, -0.368571
26, 0.98, -0.88, 1.08, 0.4, 0.08, 0.36, 0.847912, 0, -0.344125, -0.403266
